TeamId,TeamName,SubmissionDate,Score
2347103,TensorFrozen(Shihao),"2018-11-07 16:19:58",0.50000
2347103,TensorFrozen(Shihao),"2018-11-08 02:11:08",0.51702
2347103,TensorFrozen(Shihao),"2018-11-08 02:12:55",0.52640
2347618,"Enyue Jia","2018-11-08 15:14:19",0.53084
2347103,TensorFrozen(Shihao),"2018-11-08 15:53:29",0.67841
2347103,TensorFrozen(Shihao),"2018-11-08 20:01:25",0.79713
2347103,TensorFrozen(Shihao),"2018-11-08 20:26:36",0.80390
2347103,TensorFrozen(Shihao),"2018-11-10 00:14:22",0.80680
2347103,TensorFrozen(Shihao),"2018-11-12 01:40:53",0.80730
2347103,TensorFrozen(Shihao),"2018-11-13 21:59:51",0.80745
2347618,"Enyue Jia","2018-11-14 07:44:01",0.79042
2347618,"Enyue Jia","2018-11-14 09:58:04",0.79330
2347618,"Enyue Jia","2018-11-15 01:34:54",0.79398
2347618,"Enyue Jia","2018-11-15 12:32:29",0.79880
2347103,TensorFrozen(Shihao),"2018-11-16 05:04:44",0.80819
2347618,"Enyue Jia","2018-11-17 14:21:57",0.80017
2381135,"Elena Ivanova","2018-11-20 07:35:38",0.78724
2381135,"Elena Ivanova","2018-11-20 07:57:12",0.78906
2347618,"Enyue Jia","2018-11-23 13:21:59",0.80026
2347618,"Enyue Jia","2018-11-24 04:40:24",0.80067
2417590,"Lawrence Sumera","2018-11-25 01:10:55",0.77363
2347618,"Enyue Jia","2018-11-25 13:03:15",0.80176
2417590,"Lawrence Sumera","2018-11-27 12:46:45",0.78668
2452935,Rakan,"2018-11-28 16:14:42",0.54743
2395221,"Lisa Vladulescu","2018-12-02 09:12:27",0.80300
2395221,"Lisa Vladulescu","2018-12-02 09:28:33",0.80308
2395221,"Lisa Vladulescu","2018-12-02 09:33:54",0.80309
2417590,"Lawrence Sumera","2018-12-04 13:36:23",0.80471
2417590,"Lawrence Sumera","2018-12-04 14:18:04",0.80536
2381135,"Elena Ivanova","2018-12-05 07:43:32",0.79277
2362910,dima806,"2018-12-05 12:34:54",0.79463
2417590,"Lawrence Sumera","2018-12-06 13:06:15",0.80640
2362910,dima806,"2018-12-07 11:02:57",0.80049
2417590,"Lawrence Sumera","2018-12-07 12:40:41",0.80667
2417590,"Lawrence Sumera","2018-12-07 12:58:16",0.80677
2500774,"Nelson Tsaku","2018-12-07 22:54:43",0.79781
2395221,"Lisa Vladulescu","2018-12-10 05:00:49",0.80499
2395221,"Lisa Vladulescu","2018-12-10 05:01:47",0.80527
2395221,"Lisa Vladulescu","2018-12-10 05:09:22",0.80578
2395221,"Lisa Vladulescu","2018-12-10 05:24:27",0.80640
2381135,"Elena Ivanova","2018-12-11 09:30:04",0.79632
2525219,DrPeterSchneider,"2018-12-13 19:58:15",0.30715
2525219,DrPeterSchneider,"2018-12-13 20:10:42",0.31424
2525219,DrPeterSchneider,"2018-12-14 10:26:31",0.71502
2567445,"ben wen","2018-12-23 18:33:14",0.60433
2347340,"Zhitao Wang","2018-12-24 07:56:21",0.78609
2567445,"ben wen","2018-12-27 01:37:45",0.78084
2347340,"Zhitao Wang","2018-12-27 13:31:10",0.78815
2347340,"Zhitao Wang","2018-12-27 13:34:08",0.79863
