LNR,RESPONSE
1754,0.719334602355957
1770,0.6815693974494934
1465,0.2633128762245178
1470,0.25731778144836426
1478,0.21461832523345947
1782,0.1806950569152832
1485,0.20422759652137756
1519,0.6724353432655334
1835,0.6570935249328613
1522,0.32345354557037354
1539,0.20145434141159058
1853,0.695000171661377
1856,0.43460625410079956
2502,0.19758394360542297
2182,0.7493186593055725
2191,0.6521845459938049
2522,0.6417974233627319
2530,0.7319564819335938
2215,0.22486409544944763
2550,0.7070631980895996
2570,0.14267349243164062
2574,0.24646732211112976
2579,0.23346412181854248
2247,0.7235608100891113
2674,0.1578463912010193
11434,0.1990174949169159
11122,0.6967821717262268
11127,0.6967995762825012
11443,0.7192790508270264
11170,0.4727071523666382
11191,0.23846697807312012
11198,0.7292109727859497
10936,0.4727071523666382
11244,0.21028831601142883
11247,0.6412830948829651
11252,0.2024475336074829
11259,0.4727071523666382
10945,0.07392501831054688
10951,0.26061391830444336
11271,0.6897127032279968
10963,0.6838573813438416
11282,0.3107956051826477
11291,0.37277671694755554
10980,0.10335373878479004
10994,0.10372671484947205
10998,0.4727071523666382
11303,0.43606334924697876
11630,0.15997210144996643
11636,0.1762392818927765
11949,0.19619902968406677
11950,0.6713396906852722
11956,0.6801507472991943
11648,0.4727071523666382
11653,0.6602450609207153
11967,0.15638071298599243
11972,0.21825942397117615
11975,0.19441938400268555
12110,0.19224217534065247
12113,0.6478679776191711
11712,0.16774845123291016
11716,0.4727071523666382
12000,0.22006624937057495
11722,0.6889083385467529
12023,0.4727071523666382
12046,0.15710237622261047
11762,0.4727071523666382
12071,0.21516671776771545
12077,0.22312122583389282
11785,0.694511353969574
11788,0.1721368134021759
11790,0.07422217726707458
11800,0.679572582244873
11806,0.15632718801498413
11816,0.06588470935821533
11505,0.1229543685913086
11837,0.2026841938495636
11531,0.6784336566925049
11848,0.2200206220149994
11854,0.15007197856903076
11877,0.1766151785850525
11563,0.17521187663078308
11567,0.19804123044013977
11894,0.13386034965515137
11906,0.23095223307609558
11917,0.4727071523666382
11610,0.4727071523666382
11923,0.18567949533462524
12596,0.3307238519191742
12603,0.21235036849975586
12608,0.35989344120025635
12633,0.3005802631378174
12637,0.34372520446777344
21484,0.4727071523666382
21184,0.1010771095752716
21247,0.31531280279159546
20991,0.6154041886329651
21018,0.20974624156951904
21019,0.7052873373031616
21047,0.06646335124969482
21054,0.20619285106658936
21374,0.293999582529068
